1555.26 0 1061.73 1555.26 887.528 0 0 0 0
10269 295 97798
23057 -16.097 -29.3855 24.3369
23143 -18.8004 -20.7901 32.4398
23281 7.20606 -19.9177 35.5693
23363 12.254 -30.4 25.8435
23393 -12.0172 -27.7744 26.7731
23645 -10.2389 -28.1107 26.828
23685 -13.825 -36.333 18.7877
23700 -16.4144 -30.0429 24.5366
23703 -13.0292 -36.3854 18.8395
23733 -11.6539 -24.5779 29.6991
23856 -7.65882 -24.8211 29.597
23919 -12.1524 -36.5197 18.7782
23991 -12.491 -36.5445 18.8765
23992 -12.2416 -36.3087 19.1485
24023 -9.94036 -36.3786 19.393
24246 -10.4704 -36.3343 19.4174
24287 -4.8738 -28.5678 26.6968
24444 -5.11706 -28.5388 26.7159
24488 -19.6559 -20.3757 33.1373
24499 -10.2137 -36.3649 19.4033
24517 -19.2182 -22.5006 31.1281
24581 -16.7542 -29.2964 24.3119
24808 -7.71037 -28.3183 26.828
24922 -13.4509 -36.5811 18.911
25037 -17.1538 -29.9774 24.5479
25260 -17.003 -29.2116 24.2309
25748 -12.6069 -29.0774 25.4742
26101 -13.5917 -28.9902 25.5206
26205 -19.431 -22.0932 31.0645
26293 -19.7141 -24.3296 29.8507
26562 -12.6884 -37.0264 18.3269
26644 -6.55156 -31.0325 24.3277
26701 -13.1852 -36.9652 18.3238
26738 -13.4602 -40.2855 15.3834
26773 -14.2641 -40.2169 15.4189
26889 -8.77605 -27.9444 26.4906
27313 10.1142 -37.9271 18.7555
27351 9.97717 -37.9068 19.5186
27409 10.2403 -37.7308 20.0251
27457 -13.0326 -40.2513 15.3125
27536 1.06877 -41.2995 15.2934
27594 -14.0707 -39.4211 16.1603
27726 -12.7223 -32.1874 23.0034
27757 1.20893 -41.6045 15.046
27798 2.06764 -41.6745 14.9982
27955 10.1535 -37.4415 20.59
27987 0.849376 -41.5384 15.0687
27990 1.82315 -41.4554 14.8512
28052 -13.7243 -40.0683 15.2329
28066 1.61633 -41.438 14.8974
28100 0.996127 -41.8442 14.8814
28271 -12.4068 -32.8841 22.4735
28313 -18.4316 -29.1569 24.2599
28315 -12.7674 -35.9023 19.2608
28389 -11.4515 -36.2116 19.3354
28449 0.915415 -40.9833 15.5868
28485 0.783405 -42.1063 14.588
28731 -5.47975 -41.5769 14.8184
28797 10.1201 -42.4028 14.816
28995 1.13028 -40.8204 15.8855
29066 -12.3865 -36.7557 18.5753
29203 -5.02396 -36.7537 19.3047
29250 -19.1076 -29.8035 24.5905
29315 10.806 -34.8722 22.0224
29341 10.3242 -35.9435 21.7984
29352 9.87339 -42.9685 14.333
29359 11.0726 -34.2788 22.5544
29417 11.8568 -34.3152 22.4754
29690 -13.4513 -44.0293 11.84
29713 -20.0246 -27.2207 27.1642
30011 9.50787 -42.8591 14.4024
30035 -11.9335 -32.4271 22.3627
30069 -9.66703 -36.3762 19.271
30126 -10.7664 -28.0673 26.7776
30153 -14.6542 -44.4618 11.3975
30189 -13.8604 -44.5463 11.4438
30266 -19.4072 -29.0446 24.5163
30408 -10.6157 -44.6852 11.7092
30558 -18.7493 -29.7986 24.3882
30737 1.83614 -45.4603 11.6741
30836 -5.08622 -33.3002 22.1937
30964 -14.3493 -44.7114 11.5158
30987 -0.997283 -37.8922 18.4296
30996 -10.4992 -36.7101 18.7809
31098 2.09889 -45.3868 11.7888
31121 9.26637 -46.0201 11.5772
31135 -9.8479 -36.0954 19.1943
31148 0.769469 -45.8608 11.1396
31160 1.61164 -45.9785 11.1994
31172 9.47146 -46.0974 11.4415
31327 -10.205 -37.7873 17.8329
31444 -19.7403 -30.0788 24.2243
31456 -10.2067 -44.8097 11.8676
31478 -5.30495 -36.9141 19.0641
31523 -20.0055 -30.6737 23.7154
31550 4.52311 -45.6312 11.5081
31644 10.9523 -42.4985 14.8029
31667 9.66284 -46.6719 10.9701
31748 2.16653 -37.9552 18.6847
31749 4.22716 -45.8521 11.6235
31805 -1.14779 -38.9971 17.4022
31832 -0.110074 -37.9409 18.3352
31855 1.45375 -46.2811 10.8811
31944 1.66888 -37.6982 18.4584
31953 2.73898 -37.3063 18.9556
31959 2.43305 -37.7675 18.4767
32060 2.52051 -45.6863 11.5673
32208 -9.88245 -38.0617 17.3856
